element,component,max_score,score
Formatting,the report was correctly formatted as an RMarkdown file,5,
Graphics,the first graph is integrated into the narrative of the report and provides useful information,10,
Graphics,"the first graph is labeled, formatted, and annotated as needed",5,
Graphics,the second graph is integrated into the narrative of the report and provides useful information,10,
Graphics,"the second graph is labeled, formatted, and annotated as needed",5,
Graphics,the third graph is integrated into the narrative of the report and provides useful information,10,
Graphics,"the third graph is labeled, formatted, and annotated as needed",5,
Exposition,"the main reports sections are well-written, with full sentences and limited errors",20,
Exposition,the article successfully tells an interesting story with the data,25,
Review,"draft of three plots completed on-time and thoughtful response given to other student's work",5
